time(s),ch0(V),ch1(V),ch2(V),ch3(V)
2.6,0.1001,2.4991,2.4988,2.4991
2.6125,0.061,2.4991,2.4988,2.4991
2.625,0.0204,2.4991,2.4988,2.4991
2.6375,-0.0186,2.4991,2.4985,2.4991
2.65,-0.058,2.4991,2.4988,2.4991
2.6625,-0.097,2.4991,2.4988,2.4991
2.675,-0.1364,2.4991,2.4988,2.4991
2.6875,-0.1749,2.4991,2.4988,2.4991
2.7,-0.2112,2.4991,2.4988,2.4991
2.7125,-0.2472,2.4991,2.4988,2.4991
2.725,-0.2817,2.4991,2.4988,2.4991
2.7375,-0.3146,2.4991,2.4988,2.4991
2.75,-0.3445,2.4991,2.4988,2.4991
2.7625,-0.3729,2.4991,2.4988,2.4991
2.775,-0.3995,2.4991,2.4988,2.4991
2.7875,-0.4239,2.4991,2.4988,2.4991
2.8,-0.4443,2.4991,2.4988,2.4991
2.8125,-0.4626,2.4991,2.4985,2.4991
2.825,-0.4788,2.4991,2.4988,2.4991
2.8375,-0.491,2.4991,2.4985,2.4991
2.85,-0.5008,2.4991,2.4988,2.4991
2.8625,-0.5069,2.4991,2.4988,2.4991
2.875,-0.5109,2.4991,2.4988,2.4991
2.8875,-0.5109,2.4991,2.4988,2.4991
2.9,-0.5075,2.4991,2.4988,2.4991
2.9125,-0.5014,2.4991,2.4988,2.4991
2.925,-0.4929,2.4991,2.4988,2.4991
2.9375,-0.481,2.4991,2.4988,2.4991
2.95,-0.4657,2.4991,2.4988,2.4991
2.9625,-0.4477,2.4991,2.4988,2.4991
2.975,-0.4276,2.4991,2.4985,2.4991
2.9875,-0.4041,2.4991,2.4988,2.4991
3.0,-0.3781,2.4991,2.4988,2.4991
3.0125,-0.3494,2.4991,2.4988,2.4991
3.025,-0.3198,2.4991,2.4988,2.4991
3.0375,-0.2875,2.4991,2.4988,2.4991
3.05,-0.253,2.4991,2.4988,2.4991
3.0625,-0.2179,2.4991,2.4988,2.4991
3.075,-0.1816,2.4991,2.4988,2.4991
3.0875,-0.1434,2.4991,2.4988,2.4991
3.1,-0.1041,2.4991,2.4988,2.4991
3.1125,-0.0647,2.4991,2.4988,2.4991
3.125,-0.0253,2.4991,2.4988,2.4991
3.1375,0.0134,2.4991,2.4988,2.4991
3.15,0.0537,2.4991,2.4988,2.4991
3.1625,0.0934,2.4991,2.4988,2.4991
3.175,0.1318,2.4991,2.4988,2.4991
3.1875,0.1697,2.4991,2.4988,2.4991
3.2,0.2075,2.4991,2.4988,2.4991
3.2125,0.2432,2.4991,2.4988,2.4991
3.225,0.2765,2.4991,2.4988,2.4991
3.2375,0.3091,2.4991,2.4988,2.4991
3.25,0.3397,2.4991,2.4988,2.4991
3.2625,0.3687,2.4991,2.4988,2.4991
3.275,0.3943,2.4991,2.4988,2.4991
3.2875,0.4181,2.4991,2.4988,2.4991
3.3,0.4395,2.4991,2.4988,2.4991
3.3125,0.4578,2.4991,2.4988,2.4991
3.325,0.473,2.4991,2.4988,2.4991
3.3375,0.4855,2.4991,2.4988,2.4991
3.35,0.4953,2.4991,2.4988,2.4991
3.3625,0.5023,2.4991,2.4988,2.4991
3.375,0.5051,2.4991,2.4988,2.4991
3.3875,0.5048,2.4991,2.4988,2.4991
3.4,0.502,2.4991,2.4988,2.4991
3.4125,0.4962,2.4991,2.4988,2.4991
3.425,0.4871,2.4991,2.4988,2.4991
3.4375,0.4752,2.4991,2.4988,2.4991
3.45,0.4599,2.4991,2.4988,2.4991
3.4625,0.4419,2.4991,2.4988,2.4991
3.475,0.4211,2.4991,2.4988,2.4991
3.4875,0.3973,2.4991,2.4988,2.4991
3.5,0.372,2.4991,2.4988,2.4991
3.5125,0.3436,2.4991,2.4988,2.4991
3.525,0.3134,2.4991,2.4988,2.4991
3.5375,0.2805,2.4991,2.4988,2.4991
3.55,0.2469,2.4991,2.4988,2.4991
3.5625,0.2118,2.4991,2.4988,2.4991
3.575,0.174,2.4991,2.4988,2.4991
3.5875,0.1361,2.4991,2.4988,2.4991
3.6,0.0977,2.4991,2.4988,2.4991
3.6125,0.0583,2.4991,2.4988,2.4991
3.625,0.018,2.4991,2.4985,2.4991
3.6375,-0.0211,2.4991,2.4988,2.4991
3.65,-0.0598,2.4991,2.4988,2.4991
3.6625,-0.0998,2.4991,2.4988,2.4991
3.675,-0.1392,2.4991,2.4988,2.4991
3.6875,-0.177,2.4991,2.4985,2.4991
3.7,-0.2136,2.4991,2.4988,2.4991
3.7125,-0.249,2.4991,2.4988,2.4991
