time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.0928,2.19299316,,,
0.093,2.19299316,,,
0.0932,2.19299316,,,
0.0934,2.19299316,,,
0.0936,2.19299316,,,
0.0938,2.19299316,,,
0.094,2.19268799,,,
0.0942,2.19268799,,,
0.0944,2.19299316,,,
0.0946,2.19299316,,,
0.0948,2.19299316,,,
0.095,2.19299316,,,
0.0952,2.19299316,,,
0.0954,2.19299316,,,
0.0956,2.19299316,,,
0.0958,2.19299316,,,
0.096,2.19268799,,,
0.0962,2.19268799,,,
0.0964,2.19299316,,,
0.0966,2.19299316,,,
0.0968,2.19299316,,,
0.097,2.19268799,,,
0.0972,2.19299316,,,
0.0974,2.19299316,,,
0.0976,2.19299316,,,
0.0978,2.19299316,,,
0.098,2.19268799,,,
0.0982,2.19299316,,,
0.0984,2.19299316,,,
0.0986,2.19268799,,,
0.0988,2.19299316,,,
0.099,2.19299316,,,
0.0992,2.19299316,,,
0.0994,2.19299316,,,
0.0996,2.19299316,,,
0.0998,2.19299316,,,
0.1,2.19299316,,,
0.1002,2.19299316,,,
0.1004,2.19299316,,,
0.1006,2.19268799,,,
0.1008,2.19299316,,,
0.101,2.19268799,,,
0.1012,2.19268799,,,
0.1014,2.19268799,,,
0.1016,2.19268799,,,
0.1018,2.19299316,,,
0.102,2.19299316,,,
0.1022,2.19299316,,,
0.1024,2.19299316,,,
0.1026,2.19299316,,,
0.1028,2.19299316,,,
0.103,2.19299316,,,
0.1032,2.19268799,,,
0.1034,2.19299316,,,
0.1036,2.19299316,,,
0.1038,2.19299316,,,
0.104,2.19299316,,,
0.1042,2.19299316,,,
0.1044,2.19299316,,,
0.1046,2.19299316,,,
0.1048,2.19299316,,,
0.105,2.19299316,,,
0.1052,2.19268799,,,
0.1054,2.19299316,,,
0.1056,2.19299316,,,
0.1058,2.19299316,,,
0.106,2.19268799,,,
0.1062,2.19299316,,,
0.1064,2.19268799,,,
0.1066,2.19299316,,,
0.1068,2.19299316,,,
0.107,2.19299316,,,
0.1072,2.19299316,,,
0.1074,2.19299316,,,
0.1076,2.19299316,,,
0.1078,2.19299316,,,
0.108,2.19299316,,,
0.1082,2.19299316,,,
0.1084,2.19299316,,,
0.1086,2.19299316,,,
0.1088,2.19299316,,,
0.109,2.19268799,,,
0.1092,2.19299316,,,
0.1094,2.19268799,,,
0.1096,2.19299316,,,
0.1098,2.19299316,,,
0.11,2.19299316,,,
0.1102,2.19299316,,,
0.1104,2.19299316,,,
0.1106,2.19299316,,,
0.1108,2.19268799,,,
0.111,2.19299316,,,
0.1112,2.19299316,,,
0.1114,2.19299316,,,
0.1116,2.19299316,,,
0.1118,2.19299316,,,
0.112,2.19299316,,,
0.1122,2.19299316,,,
0.1124,2.19299316,,,
0.1126,2.19299316,,,
0.1128,2.19299316,,,
0.113,2.19268799,,,
0.1132,2.19268799,,,
0.1134,2.19268799,,,
0.1136,2.19299316,,,
0.1138,2.19299316,,,
0.114,2.19299316,,,
0.1142,2.19268799,,,
0.1144,2.19299316,,,
0.1146,2.19268799,,,
0.1148,2.19299316,,,
0.115,2.19268799,,,
0.1152,2.19299316,,,
0.1154,2.19299316,,,
0.1156,2.19299316,,,
0.1158,2.19299316,,,
0.116,2.19299316,,,
0.1162,2.19299316,,,
0.1164,2.19268799,,,
0.1166,2.19268799,,,
0.1168,2.19268799,,,
0.117,2.19268799,,,
0.1172,2.19299316,,,
0.1174,2.19299316,,,
0.1176,2.19268799,,,
0.1178,2.19299316,,,
0.118,2.19268799,,,
0.1182,2.19299316,,,
0.1184,2.19299316,,,
0.1186,2.19299316,,,
0.1188,2.19299316,,,
0.119,2.19299316,,,
0.1192,2.19268799,,,
0.1194,2.19299316,,,
0.1196,2.19299316,,,
0.1198,2.19299316,,,
0.12,2.19268799,,,
0.1202,2.19299316,,,
0.1204,2.19299316,,,
0.1206,2.19299316,,,
0.1208,2.19299316,,,
0.121,2.19268799,,,
0.1212,2.19299316,,,
0.1214,2.19299316,,,
0.1216,2.19299316,,,
0.1218,2.19268799,,,
0.122,2.19299316,,,
0.1222,2.19268799,,,
0.1224,2.19299316,,,
0.1226,2.19299316,,,
0.1228,2.19299316,,,
